№;ФИО;Номер телефона;Количество минут, оплаченных абонентом;Количество минут, которые наговорил абонент;Стоимость дополнительной минуты;Адрес;Сумма, оплаченная за дополнительные минуты
848;Крылова Октябрина Викторовна;+76934244555;418;136;44;д. Урюпинск, наб. Кутузова, д. 65, 886926;0
849;Суханова Василиса Петровна;+7 (111) 783-3446;137;295;26;к. Сочи, алл. Окружная, д. 619 стр. 556, 577813;4108
850;Александрова София Кузьминична;8 780 733 9667;138;551;14;г. Шереметьево, пер. Олимпийский, д. 6 стр. 858, 963137;5782
851;Родионова Александра Рубеновна;+7 033 132 3999;461;280;45;клх Россошь, бул. Школьный, д. 63, 346571;0
852;Эмилия Егоровна Коновалова;+7 071 690 01 06;117;486;19;клх Орел, бул. 8 Марта, д. 5/7, 807330;7011
853;Васильева Оксана Семеновна;+7 031 768 57 84;331;305;20;г. Курганинск, наб. Безымянная, д. 9 к. 7/3, 172357;0
854;Денисова Оксана Вадимовна;+74502677547;55;418;25;с. Сасово, ул. Азина, д. 508 стр. 60, 010077;9075
855;Боброва Алина Тимофеевна;+7 (529) 950-3309;327;69;38;с. Сызрань, наб. Курчатова, д. 86 к. 933, 237946;0
856;Дарья Леонидовна Карпова;8 028 228 1724;207;352;18;клх Камышлов, бул. Дорожников, д. 4, 412916;2610
857;Мишин Ратибор Еремеевич;8 (639) 156-65-04;17;143;9;г. Нарткала, ш. Станиславского, д. 523 к. 9, 968772;1134
858;Морозов Алексей Власович;89901397925;288;321;42;клх Ясный (Оренб.), бул. Максима Горького, д. 492 стр. 182, 510859;1386
859;Орлов Капитон Владиславович;+7 (669) 494-0929;288;521;4;ст. Оренбург, ш. Запорожское, д. 69 к. 3, 413675;932
860;Евдокия Рудольфовна Александрова;+7 984 817 1567;108;548;29;к. Ивдель, пер. Геологов, д. 4, 991267;12760
861;Раиса Николаевна Кудряшова;8 (479) 870-2220;497;287;12;с. Советский, пр. Парижской Коммуны, д. 492, 244413;0
862;Михеев Дмитрий Данилович;87225237820;376;464;7;клх Беслан, алл. Привольная, д. 32 стр. 971, 021965;616
863;Маргарита Руслановна Кириллова;+7 950 316 0253;353;545;35;клх Кашира, пр. Ореховый, д. 946 стр. 926, 214974;6720
864;Зуева Марина Харитоновна;+79935490864;354;171;44;п. Кижи, наб. Заовражная, д. 8/6, 996980;0
865;Октябрина Альбертовна Капустина;+7 109 872 9125;387;506;46;с. Невинномысск, пер. Лесозаводский, д. 9 стр. 1, 067337;5474
866;Алевтина Оскаровна Воробьева;8 (504) 070-3743;110;468;5;клх Талдом, ул. Фурманова, д. 863, 308938;1790
867;Никонова Анна Романовна;+7 435 188 12 43;312;202;50;с. Челюскин, пер. Машиностроителей, д. 1 стр. 9, 772537;0
868;Тарасов Самуил Харламович;83807969803;315;307;45;ст. Льгов, ул. Прибрежная, д. 3/9, 994331;0
869;Аполлинарий Еремеевич Ларионов;+7 (720) 300-7347;213;99;41;д. Малая Вишера, алл. Одесская, д. 661, 616533;0
870;Зоя Тимуровна Рожкова;+71770386623;403;551;50;с. Можайск, ш. Театральное, д. 789 к. 841, 481361;7400
871;Таисия Романовна Ковалева;8 (936) 067-71-36;25;223;13;ст. Оса, ш. 60 лет СССР, д. 3 стр. 14, 602259;2574
872;Демьян Евсеевич Селиверстов;83486948515;179;476;5;п. Усинск, алл. Придорожная, д. 602 к. 93, 574757;1485
873;Хохлова Олимпиада Федоровна;+7 003 479 4244;82;161;2;ст. Игнашино, бул. Полевой, д. 55, 170149;158
874;Цветков Аполлон Ермолаевич;+7 947 355 4156;332;134;41;клх Токсово, ш. 70 лет Октября, д. 7/8 стр. 8, 701323;0
875;Мария Николаевна Субботина;84503351770;140;577;31;с. Владимир, ул. Гайдара, д. 83 стр. 95, 795212;13547
876;Соболев Тимур Бориславович;+7 (115) 961-63-78;81;134;5;п. Печенга, ул. Невского, д. 4/4 стр. 2/7, 389935;265
877;Елена Семеновна Рябова;83491619733;478;554;20;д. Тверь, ш. Глинки, д. 92 стр. 5, 673855;1520
878;Мариан Германович Бобров;8 (280) 592-88-97;211;352;37;к. Одинцово, пр. Пионерский, д. 9/3 стр. 422, 856749;5217
879;Зоя Вячеславовна Голубева;81014724979;240;493;47;с. Когалым, ул. Февральская, д. 3/6 к. 6, 783967;11891
880;Любовь Эдуардовна Тетерина;8 437 145 5909;317;291;28;д. Серафимович, бул. Цветочный, д. 4/8 к. 2, 919363;0
881;Потапов Артем Владиленович;84862043477;190;319;25;клх Листвянка (Иркут.), бул. Орджоникидзе, д. 8/7, 559655;3225
882;Феврония Юльевна Андреева;8 203 671 17 60;452;509;33;к. Медногорск, пер. Водников, д. 128 стр. 656, 995709;1881
883;Варфоломей Ермилович Зыков;+7 386 207 1739;176;531;35;п. Алдан, наб. Космонавтов, д. 9, 246955;12425
884;Любосмысл Еремеевич Копылов;8 (278) 209-87-41;201;410;10;клх Смоленск, алл. Индустриальная, д. 2, 126398;2090
885;Антонина Семеновна Сазонова;8 (164) 739-8844;495;482;21;г. Шуя, бул. Магистральный, д. 985 к. 7/2, 939148;0
886;Власов Аверьян Артурович;+7 111 689 00 60;160;407;17;д. Тында, пр. Пролетарский, д. 5/5 стр. 3, 658056;4199
887;Шарова Вероника Макаровна;+7 (641) 598-3940;277;502;20;п. Солнечногорск, бул. Леваневского, д. 772 к. 47, 696933;4500
888;Бажен Эдгардович Русаков;+7 142 027 1114;25;342;34;ст. Салават, наб. Пролетарская, д. 630 к. 7, 257561;10778
889;Владлен Ааронович Савин;+76179448153;185;391;20;д. Архангельск, бул. Ермака, д. 502, 643266;4120
890;Копылова Елизавета Яковлевна;89129682014;290;49;47;к. Данков, ул. Полярная, д. 5 к. 42, 350821;0
891;Афиноген Игоревич Дорофеев;+7 (684) 111-66-49;96;505;13;ст. Когалым, ул. Февральская, д. 31 к. 885, 985600;5317
892;Станислав Ильясович Зуев;8 090 991 8513;113;44;18;г. Шуя, пер. Макаренко, д. 6 к. 828, 372898;0
893;Наумов Дорофей Ильич;+7 (933) 839-2166;364;51;21;с. Арсеньев, ш. Розы Люксембург, д. 195 к. 2/5, 801940;0
894;Игнатьев Дементий Филиппович;+70817017099;440;342;41;ст. Ростов-на-Дону, пер. Максима Горького, д. 7, 045739;0
895;Ирина Дмитриевна Кошелева;82403335875;114;277;1;клх Тулпан, алл. Безымянная, д. 963 к. 70, 292877;163
896;Шубин Виталий Августович;8 (359) 825-5639;314;11;25;к. Эльбрус, бул. Волкова, д. 6, 863972;0
897;Агата Ефимовна Лихачева;8 (115) 715-38-86;137;43;6;с. Усмань, ш. Большое, д. 6/1, 697552;0
898;Михеев Будимир Филиппович;8 369 871 0205;102;368;28;к. Кирово-Чепецк, алл. Балтийская, д. 8, 876347;7448
899;Модест Феоктистович Коновалов;+7 505 139 5945;386;574;20;г. Южно-Курильск, ш. Беляева, д. 4 стр. 2, 257957;3760
900;Громов Любосмысл Валерьевич;+77173337683;180;416;12;к. Лысьва, наб. Дружба, д. 872 стр. 662, 108539;2832
901;Георгий Фадеевич Афанасьев;+7 (827) 586-8601;54;589;47;с. Комсомольск-на-Амуре, пр. Розы Люксембург, д. 30, 742494;25145
902;Потапов Кондрат Фролович;+7 746 498 2847;299;560;26;д. Лысьва, бул. Ключевой, д. 5/6 к. 11, 845915;6786
903;Самсонова Акулина Макаровна;+7 (478) 584-14-18;323;385;6;с. Кандалакша, наб. Брянская, д. 53 стр. 81, 553389;372
904;Варвара Дмитриевна Шарова;+7 (860) 237-6493;192;49;19;д. Ульяновск, пер. Вокзальный, д. 8 к. 7, 587497;0
905;Голубева Алина Артемовна;89624344202;417;438;16;с. Люберцы, пер. Прохладный, д. 608 стр. 3, 625728;336
906;Емельянова Лариса Геннадьевна;+7 983 619 9846;440;202;27;клх Анадырь, бул. Виноградный, д. 6/8 стр. 4/4, 939118;0
907;Одинцов Сигизмунд Еремеевич;8 (817) 241-82-86;207;35;48;ст. Баргузин, наб. Заводская, д. 24, 933665;0
908;Веселов Юлий Валерианович;8 365 671 5397;497;585;50;ст. Мелеуз, бул. Отрадный, д. 586 к. 1/4, 143984;4400
909;Валентина Максимовна Соколова;+7 837 961 9647;497;547;43;д. Сочи, наб. Чехова, д. 2 к. 772, 405300;2150
910;Анисимов Амвросий Эдгарович;+7 (720) 683-64-96;458;501;46;п. Плесецк, ш. Воровского, д. 968 стр. 1, 486924;1978
911;Филиппова Екатерина Георгиевна;80203301016;205;360;21;клх Льгов, ш. Рылеева, д. 1 стр. 7/2, 212405;3255
912;София Антоновна Ершова;+7 291 764 3253;234;393;35;ст. Сеймчан, наб. Котовского, д. 32 к. 4/4, 323315;5565
913;Елисеев Агап Герасимович;+7 609 997 0071;371;281;4;клх Москва, бул. Таманский, д. 5/4 к. 3, 907914;0
914;Горбунов Петр Вилорович;8 501 094 2249;214;293;13;ст. Балашов, бул. Белинского, д. 647 стр. 358, 764593;1027
915;Чернова Феврония Захаровна;8 727 959 40 40;354;417;24;г. Сасово, пер. Технический, д. 21, 207050;1512
916;Прасковья Богдановна Титова;+74816892645;221;241;26;ст. Ельня, пр. Щербакова, д. 9 стр. 2, 304863;520
917;Анжела Вениаминовна Титова;+7 (787) 729-2751;163;269;44;п. Городовиковск, ул. Кавказская, д. 1/7 стр. 9/8, 058808;4664
918;Вишняков Остромир Даниилович;84763924337;254;86;22;п. Нягань, алл. Октября, д. 5/7 стр. 57, 510714;0
919;Котова Любовь Руслановна;+72602824090;293;429;24;д. Елабуга, наб. Сплавная, д. 5 стр. 1, 815160;3264
920;Селезнев Мирон Анисимович;8 (255) 455-1502;115;438;24;д. Белоярский, бул. Амурский, д. 82 стр. 78, 023290;7752
921;Хохлов Феоктист Филимонович;80908732724;352;130;35;п. Липецк, алл. Полярная, д. 207, 346744;0
922;Красильникова Евгения Александровна;8 (854) 464-6324;423;5;4;г. Новороссийск, пер. Громова, д. 2, 218109;0
923;Игорь Григорьевич Тарасов;+7 938 851 1255;91;418;1;п. Серпухов, наб. Большая, д. 71 к. 40, 749956;327
924;Евфросиния Тарасовна Вишнякова;8 640 736 9122;287;148;49;с. Джубга, пер. Фабричный, д. 5/6, 596579;0
925;Герасимов Аркадий Давидович;+7 713 270 24 63;258;465;37;п. Верхний Уфалей, бул. Клубный, д. 1/8 стр. 5/4, 888604;7659
926;Веселов Федор Вилорович;8 454 677 9653;10;573;35;с. Усть-Кулом, ул. Нефтяников, д. 4 к. 9, 846976;19705
927;Андреева Анжела Вадимовна;+72775149790;192;389;41;ст. Ижевск, ул. Короленко, д. 7/2, 513148;8077
928;Лора Кузьминична Блохина;+7 (884) 196-66-16;271;464;50;клх Ирбит, алл. Ермака, д. 403 к. 25, 269662;9650
929;Королева Оксана Тимуровна;8 088 230 82 04;303;578;31;к. Анапа, бул. ДОС, д. 6, 189995;8525
930;Еремей Терентьевич Щербаков;8 325 473 07 80;158;488;2;с. Хатанга, ш. Высотное, д. 64, 575511;660
931;Гришина Феврония Харитоновна;+73588055368;497;255;33;п. Валдай, ш. Каштановое, д. 5 к. 98, 673860;0
932;Алевтина Константиновна Денисова;+7 318 384 57 63;207;177;14;клх Поронайск, алл. Литейная, д. 96 стр. 37, 096549;0
933;Мина Елизарович Гурьев;8 605 793 9204;487;292;10;к. Уссурийск, наб. Украинская, д. 6 стр. 716, 355560;0
934;Василиса Антоновна Медведева;+7 918 350 1596;85;541;25;д. Стрежевой, ул. Фабричная, д. 50, 469349;11400
935;Анжела Львовна Сидорова;8 (419) 839-1223;28;186;13;п. Рославль, пр. Широкий, д. 4, 507432;2054
936;Калашников Натан Эдгарович;+7 (052) 957-81-31;222;486;4;г. Партизанск, пер. Кедровый, д. 6 к. 3, 181328;1056
937;Аггей Анисимович Хохлов;8 (140) 358-0684;260;381;1;с. Саранск, пер. Трактовый, д. 58 стр. 3/5, 684263;121
938;Носова Олимпиада Егоровна;+74325305596;197;60;37;с. Терскол, пр. Кузнецкий, д. 82 к. 7/9, 150089;0
939;Шестаков Антонин Чеславович;+7 (749) 803-9230;138;379;15;к. Адлер, пр. Металлургов, д. 21 стр. 7, 937154;3615
940;Ковалева Варвара Владиславовна;8 (413) 489-29-04;305;500;38;ст. Ершов, пер. Лесный, д. 6/7, 298605;7410
941;Некрасов Любомир Эдуардович;8 (921) 901-95-45;342;144;40;г. Ревда (Сверд.), пр. Народный, д. 208, 308831;0
942;Элеонора Аскольдовна Муравьева;8 (136) 435-02-18;438;236;2;п. Абинск, пер. Клары Цеткин, д. 479 к. 706, 757325;0
943;Антонина Кузьминична Андреева;8 (088) 338-4934;123;536;48;с. Невьянск, наб. Прибрежная, д. 105 стр. 49, 408667;19824
944;Данилова Агата Эдуардовна;+7 (761) 149-3074;94;389;10;д. Тырныауз, алл. Энергетиков, д. 5, 252801;2950
945;Аскольд Филиппович Васильев;8 (602) 750-86-37;456;176;11;к. Быково (метеост.), алл. Просвещения, д. 4/5 к. 191, 310548;0
946;Агап Теймуразович Миронов;85013178369;3;570;22;г. Ростов-на-Дону, пр. Советский, д. 2 к. 537, 647578;12474
947;Никита Даниилович Степанов;+7 (211) 549-7974;204;81;44;с. Новая Игирма, пр. Осенний, д. 28 стр. 188, 928779;0
948;Кузнецов Аполлинарий Харлампович;8 (747) 972-42-05;171;283;33;ст. Любань, бул. Марта 8, д. 37 стр. 235, 054926;3696
949;Ларионова Юлия Даниловна;+7 812 103 4304;50;263;46;п. Сальск, пер. Тупиковый, д. 4, 159515;9798
950;Максим Филимонович Гуляев;+7 122 676 32 70;220;321;12;к. Россошь, бул. 30 лет Победы, д. 204, 170465;1212
951;г-н Ефремов Прокл Иларионович;8 (281) 681-6815;164;439;25;д. Анива, бул. Парижской Коммуны, д. 5 к. 4, 872488;6875
952;Фёкла Андреевна Кудряшова;+7 (954) 534-04-70;288;256;43;г. Саров (Морд.), пер. Восьмого Марта, д. 909 стр. 7/4, 778649;0
953;Валентина Ильинична Сидорова;8 673 059 9589;290;205;43;ст. Гудермес, ш. Братское, д. 2/4 стр. 1/5, 634705;0
954;Селиверст Артёмович Мишин;+7 494 848 2097;57;306;46;г. Нарьян-Мар, алл. З.Космодемьянской, д. 487 к. 16, 878688;11454
955;Лидия Львовна Калинина;8 (190) 776-8848;221;131;13;клх Сибай, ш. Весеннее, д. 838, 030910;0
956;Полина Евгеньевна Терентьева;8 821 222 29 52;352;394;36;клх Яхрома, ш. Нагорное, д. 36 стр. 155, 014251;1512
957;Мария Афанасьевна Титова;8 (271) 903-5129;373;435;8;г. Данков, ш. 70 лет Октября, д. 7/8, 755960;496
958;Максимов Святополк Бориславович;+7 (112) 999-74-97;65;254;1;д. Серебряные Пруды, ул. Таманская, д. 77 к. 76, 398117;189
959;Калашникова Милица Яковлевна;+7 (585) 416-8568;148;335;22;д. Белгород, наб. Литейная, д. 3/8 стр. 2, 325441;4114
960;Бирюкова Ольга Григорьевна;+7 (350) 958-41-70;429;179;21;клх Усть-Катав, пр. Серова, д. 1, 457389;0
961;Устинов Корнил Артурович;+71423499749;20;58;8;п. Муравленко, алл. Молодежная, д. 14, 189340;304
962;Пелагея Вадимовна Лихачева;+7 (091) 105-80-05;198;182;45;п. Советский, бул. Жукова, д. 707 к. 752, 616583;0
963;Силина Анна Васильевна;+7 838 544 03 50;484;75;1;ст. Нязепетровск, пер. Волочаевский, д. 4/2, 758780;0
964;Степан Августович Филиппов;+7 439 555 62 83;90;108;34;клх Ардон, бул. Харьковский, д. 16, 748751;612
965;Игнатьева Марина Николаевна;8 (290) 814-40-54;340;436;26;д. Владимир, наб. Достоевского, д. 1/8, 770130;2496
966;Гущин Трифон Фролович;8 (927) 978-77-26;326;216;31;п. Валдай, пер. Лунный, д. 187 стр. 9, 897841;0
967;Леонтий Викентьевич Панов;+7 (382) 967-4033;12;451;6;к. Брянск, ш. Луначарского, д. 314 к. 3/7, 196231;2634
968;Михайлов Трифон Теймуразович;83263275905;70;196;23;к. Корсаков, пер. Березовый, д. 6 стр. 2, 787474;2898
969;Антонина Робертовна Рябова;8 419 572 0636;223;446;29;к. Кузнецк, пр. Широкий, д. 4 стр. 226, 338513;6467
970;Гаврилов Трофим Всеволодович;89813316087;92;295;46;к. Абинск, пр. Зои Космодемьянской, д. 465 стр. 7/9, 444039;9338
971;Суханова Эмилия Станиславовна;8 (200) 663-69-96;144;128;25;г. Малгобек, пер. Степана Разина, д. 2/6 к. 69, 996439;0
972;Блохин Зосима Ефимьевич;80435188359;438;410;12;к. Вуктыл, ул. Курчатова, д. 81 к. 1, 078688;0
973;Мария Егоровна Носкова;80103857400;35;382;13;п. Середниково, пр. Автомобилистов, д. 91 стр. 738, 402915;4511
974;Мария Михайловна Никифорова;83894738528;191;496;29;г. Дагомыс, ш. Ягодное, д. 1, 327084;8845
975;Фирс Якубович Баранов;+7 (300) 490-43-96;88;432;13;ст. Кош-Агач, наб. Локомотивная, д. 6 стр. 6, 219777;4472
976;Леон Иларионович Кондратьев;8 (547) 558-9455;117;246;39;д. Солнечногорск, наб. Автомобилистов, д. 887, 808859;5031
977;Дарья Ждановна Калашникова;+7 (193) 906-96-68;345;508;22;клх Нерчинск, пр. Чехова, д. 1/3 стр. 148, 379733;3586
978;Вероника Даниловна Силина;8 (076) 850-8523;258;598;39;ст. Вилюйск, пер. Придорожный, д. 5 к. 57, 632684;13260
979;Копылов Архип Егорович;+7 965 603 8290;125;382;48;п. Джейрах, ул. Чкалова, д. 83, 153626;12336
980;Чернова Фаина Тарасовна;86159772992;139;176;27;г. Крымск, пр. Мелиоративный, д. 64, 393776;999
981;Блинов Борис Богданович;8 996 155 83 97;311;343;20;г. Яхрома, пер. Дорожный, д. 238 к. 4, 115532;640
982;Тимофей Александрович Пестов;8 (173) 850-61-93;169;495;12;к. Адыгейск, пер. Строительный, д. 429, 708474;3912
983;София Кирилловна Ковалева;8 497 679 01 70;410;37;4;г. Якутск, наб. Казанская, д. 173, 643093;0
984;Сергеева Алина Григорьевна;+7 (899) 109-3209;367;309;28;с. Старая Русса, ул. Владимирская, д. 905, 021199;0
985;Нифонт Адрианович Кудрявцев;8 431 101 9659;203;393;31;ст. Улан-Удэ, пр. Портовый, д. 6/1 стр. 431, 610718;5890
986;Аникита Якубович Волков;8 533 252 6194;314;446;17;с. Троицк (Моск.), пр. Мирный, д. 6/6 стр. 3, 306047;2244
987;Агафья Евгеньевна Карпова;+78128750404;323;360;17;ст. Нижний Тагил, ш. Севастопольское, д. 94 стр. 2/7, 847252;629
988;Щукин Иван Артурович;+7 427 422 87 00;404;388;50;к. Рязань, бул. Озерный, д. 7/2 стр. 2/1, 482226;0
989;Ларионова Лукия Васильевна;+7 337 301 33 29;197;147;29;п. Чокурдах, бул. Мирный, д. 4/5 стр. 96, 346790;0
990;Спартак Филиппович Панов;+7 585 634 76 24;298;170;26;п. Калевала, пер. Семашко, д. 649 к. 2, 924957;0
991;Ия Эдуардовна Прохорова;8 (136) 795-1250;470;439;10;г. Великие Луки, ул. Союзная, д. 684 к. 973, 080392;0
992;Родионова Прасковья Аркадьевна;+74468363226;226;528;15;д. Люберцы, наб. Краснознаменная, д. 1/5 к. 9/9, 206179;4530
993;Кулакова Регина Геннадьевна;8 896 883 05 46;151;76;2;ст. Усть-Баргузин, алл. Таежная, д. 10 к. 23, 449351;0
994;Самсон Демьянович Авдеев;8 587 426 2514;450;341;32;клх Красновишерск, ул. Геологическая, д. 2/3 стр. 7/7, 795334;0
995;Родионова Мария Архиповна;8 (764) 719-97-00;162;229;18;клх Яшалта, ш. ДОС, д. 5 к. 52, 146611;1206
996;Богдан Федосьевич Воронов;8 858 448 3984;427;551;29;г. Плес, наб. Курортная, д. 997 к. 7/9, 160228;3596
997;Власов Измаил Фролович;+7 891 877 39 17;148;244;38;клх Югорск, пер. Есенина, д. 989, 131520;3648
998;Никанор Ермилович Карпов;+7 632 560 41 37;303;91;31;г. Галич, пер. Азина, д. 3/9 стр. 4/1, 101667;0
999;Лазарев Мина Бориславович;+75282493809;143;398;5;к. Руза, ш. Покровское, д. 31 к. 491, 230067;1275
1000;Андреева Вера Андреевна;+7 (994) 389-3688;34;327;18;г. Шахты, алл. Волжская, д. 9, 004325;5274
1001;Алевтина Михайловна Потапова;87535577634;413;463;14;п. Билибино, наб. Болотная, д. 189, 242028;700
1002;Ия Никифоровна Гущина;+7 390 579 11 65;182;585;8;д. Абинск, алл. Бригадная, д. 9/6, 384040;3224
1003;Гедеон Виленович Романов;8 (190) 440-6971;251;183;31;с. Старая Русса, наб. Кошевого, д. 660 к. 29, 426549;0
1004;Терентьев Роман Арсеньевич;8 914 514 22 81;63;382;41;ст. Санкт-Петербург, ш. Маркса Карла, д. 7/2 стр. 257, 268754;13079
1005;Федотов Ананий Бориславович;+7 082 743 91 56;373;588;5;с. Бирск, алл. Островского, д. 49, 556790;1075
1006;Антонова София Кузьминична;8 (861) 645-7459;94;424;19;ст. Гаврилов-Ям, наб. Ленская, д. 16, 197279;6270
1007;Вячеслав Демьянович Лазарев;8 (116) 762-7954;129;428;39;п. Нерчинск, пр. Веселый, д. 3 стр. 500, 000272;11661
1008;Лариса Викторовна Шестакова;+7 595 258 08 26;458;110;40;ст. Певек, ул. Полевая, д. 86 к. 4, 745035;0
1009;Харитонов Пахом Терентьевич;8 (743) 577-79-75;441;401;49;д. Голицыно, бул. 60 лет СССР, д. 1, 452516;0
1010;Осипов Никодим Ильич;8 556 796 6750;157;201;26;ст. Сальск, алл. Выгонная, д. 280, 036977;1144
1011;Лидия Болеславовна Карпова;88715627180;403;104;34;г. Кулу, бул. Степана Разина, д. 5 к. 738, 418462;0
1012;Архип Денисович Гришин;89057034336;79;162;24;д. Саратов, бул. Шишкина, д. 206, 046636;1992
1013;Рыбакова Агата Архиповна;+7 522 849 52 16;215;346;50;п. Ростов-на-Дону, алл. Кубанская, д. 6, 525775;6550
1014;Сергей Измаилович Меркушев;8 929 042 5863;293;405;49;с. Нефтекамск, ул. Дорожников, д. 626, 865364;5488
1015;Клавдия Захаровна Дьячкова;+7 (645) 740-3887;125;6;8;к. Всеволожск, ул. Черемуховая, д. 961, 084214;0
1016;Шашкова Анастасия Эдуардовна;+75473666248;170;151;28;д. Тосно, ш. Лунное, д. 84 стр. 52, 609794;0
1017;Наркис Харитонович Филиппов;+7 (741) 296-0883;304;304;30;ст. Дубна, пр. Ленинский, д. 9 к. 8/2, 674151;0
1018;Доброслав Артемьевич Ситников;8 402 813 79 03;7;519;27;д. Тамбей, алл. Почтовая, д. 81 стр. 126, 713084;13824
1019;Будимир Ерофеевич Гришин;+7 (930) 381-6180;82;485;34;к. Североуральск, наб. Лунная, д. 963, 560606;13702
1020;Козлова Виктория Александровна;+7 (958) 090-6778;59;584;20;клх Забайкальск, наб. Дарвина, д. 9 стр. 7/5, 555673;10500
1021;Мамонтов Ладислав Ефстафьевич;+75984446534;186;202;46;клх Сергиев Посад, ш. Л.Толстого, д. 591 стр. 3, 522231;736
1022;Потапова Раиса Эльдаровна;+7 (293) 755-0868;3;149;49;д. Елец, пр. Космический, д. 2 к. 7, 727042;7154
1023;Кириллов Мечислав Игоревич;81179711854;335;131;11;клх Яр-Сале, наб. Лесозаводская, д. 5 к. 5, 629523;0
1024;г-жа Фомина Валентина Егоровна;8 (277) 126-7385;197;250;32;г. Солнечногорск, пр. Макарова, д. 116 к. 2/1, 258626;1696
1025;Игнатьев Анатолий Артёмович;8 (358) 003-33-44;30;188;31;с. Сибай, ул. Логовая, д. 4/4 стр. 9, 008353;4898
1026;Семен Гертрудович Кондратьев;87593283717;103;268;40;к. Домодедово, алл. Революционная, д. 9, 939707;6600
1027;Быков Александр Брониславович;+7 (194) 810-8664;18;539;44;к. Новосибирск, ул. Невского, д. 2, 653327;22924
1028;Колесникова Милица Дмитриевна;8 (920) 704-51-24;1;168;43;д. Калязин, алл. Республиканская, д. 63 стр. 95, 078013;7181
1029;Валентина Леоновна Сафонова;+7 (115) 346-91-22;345;99;47;с. Алагир, пер. Кленовый, д. 872 к. 64, 131520;0
1030;Олимпиада Станиславовна Калинина;+7 758 046 50 69;478;101;13;клх Кырен, бул. Магистральный, д. 26 стр. 1/8, 030066;0
1031;Алина Анатольевна Крылова;8 846 436 84 21;252;362;36;п. Павловская, ул. Вольная, д. 5/8 к. 64, 234984;3960
1032;тов. Князева Елизавета Васильевна;+7 (083) 802-0420;71;580;26;с. Тюмень, ш. Ангарское, д. 4 к. 8/9, 154975;13234
1033;Марина Вадимовна Новикова;8 (950) 883-88-89;57;109;18;с. Уварово, ш. Привокзальное, д. 9/4 к. 6, 036254;936
1034;Аникей Захарьевич Шарапов;+7 850 661 14 43;77;466;18;клх Асино, бул. Кольцова, д. 407 стр. 88, 795350;7002
1035;Никифоров Лев Григорьевич;8 805 819 99 87;415;138;7;д. Кабанск, алл. Космическая, д. 3/2, 268876;0
1036;Жанна Альбертовна Лобанова;8 (941) 723-03-71;297;36;24;п. Пенза, алл. Водников, д. 4 стр. 4, 073552;0
1037;Лаврентьев Милий Адрианович;8 890 149 5043;410;405;6;д. Вендинга, пр. К.Маркса, д. 9, 751108;0
1038;Гришина Наталья Вячеславовна;88692316811;96;490;7;п. Челюскин, алл. Физкультурная, д. 552, 129003;2758
1039;Костин Архип Фомич;8 (858) 819-5954;433;359;9;п. Уэлен, пер. 8 Марта, д. 7/2 к. 6, 533505;0
1040;Наина Яковлевна Игнатова;8 271 270 3541;187;70;15;д. Уфа, наб. Приморская, д. 5/6 стр. 5, 854308;0
1041;Леон Артёмович Соболев;+73155627513;201;19;10;ст. Дербент, пр. Куйбышева, д. 1, 480804;0
1042;Елена Федоровна Щербакова;+7 942 006 63 63;484;281;14;клх Каменномостский, ш. Волкова, д. 35 к. 9/3, 668537;0
1043;Сорокина Варвара Яковлевна;8 (600) 462-5022;433;497;49;клх Бирск, ул. Демьяна Бедного, д. 666 стр. 7/7, 881506;3136
1044;Алевтина Геннадьевна Ситникова;8 (196) 416-10-07;156;39;39;клх Краснодар, ул. Красноармейская, д. 4, 503931;0
1045;г-жа Русакова Жанна Афанасьевна;84748221756;377;250;7;ст. Тулун, пр. Садовый, д. 3 к. 6, 079474;0
1046;Фокин Давыд Якубович;+71747611141;233;458;12;ст. Рославль, алл. Заводская, д. 3/5 стр. 9/4, 150681;2700
1047;Щукин Карл Ануфриевич;8 (962) 338-35-16;116;347;3;п. Оренбург, ул. Хвойная, д. 528, 776615;693
1048;Воробьева Фаина Ивановна;+7 (008) 971-13-55;481;514;20;д. Минусинск, пер. Коллективный, д. 99 к. 7/2, 185148;660
1049;Рябов Парфен Феодосьевич;+7 149 960 8954;81;365;11;с. Усть-Кулом, бул. Тихий, д. 44 к. 5/9, 601895;3124
1050;Василий Якубович Зыков;+7 (283) 247-12-16;10;96;44;к. Киров (Вятка), пр. Энергетиков, д. 6 стр. 3/9, 550238;3784
1051;Нина Игоревна Титова;8 445 892 91 87;27;102;48;с. Северобайкальск, ул. Макарова, д. 2/3 к. 3/5, 550727;3600
1052;Тимофеев Арсений Евсеевич;8 (067) 677-8810;472;573;16;клх Мурманск, наб. Репина, д. 2/7, 356066;1616
1053;Филиппова Эмилия Кузьминична;8 503 667 3405;347;61;36;п. Кунгур, пер. Нефтяников, д. 3, 669170;0
1054;Карп Ефстафьевич Васильев;+7 (430) 009-1876;293;418;26;д. Сочи, ул. Дальняя, д. 6/6 стр. 413, 997956;3250
1055;Королева Александра Вячеславовна;+7 024 553 24 92;382;415;15;с. Рязань, наб. Моховая, д. 3 к. 17, 716386;495
1056;Панова Марфа Львовна;8 538 118 6352;464;460;1;п. Валаам, пер. Ударный, д. 6/8, 643492;0
1057;Глафира Львовна Лаврентьева;8 (155) 742-20-46;44;66;35;клх Кировск (Мурм.), пр. Ручейный, д. 92 стр. 7/9, 655908;770
